V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,4,4,3,3,3,3,3,5,3,3,4,4,4,3
4,3,3,2,4,2,3,3,4,4,3,5,5,3,3
3,3,3,2.81,3,3,3.27,3,3.04,3,3,4,3,3,3
4,4,4,3,3,4,3,3,4,2,4,4,5,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,4,2,4,4,4,2,4,2,1,3,1,2,2
3,3,3,4,2,3,5,2,3,4,1,5,5,3,3
2,2,2,1,4,1,3,2,1,2,4,3,1,3,2
3,3,3,3,4,3.33,5,3,3,3,3,4,3,4,3
5,4,3,5,5,5,4.41,5,5,4.01,4,5,5,4,5
4,3,3,3,5,3,2,3,5,3,2,3,4.86,5,3
2,2,2,2,4,2,3,2,3,2,2,2,4,2,3
5,3,3.7,3.57,3,4,5,5,4,3,4,4.34,5,3,3
4,3,3,3,4,3,3,3,4,3,3,3,4,3.28,3
4,2,2,2.64,3,2,3,2,5,2,2,2,2,2,2
4,1,1,1,1,1,5,1,3,4,1,2,4,1,2
5,1,1,2,4,2,1,2,3,1,1,5,5,5,2
3,3,3,3,3,5,4,5,3,3,5,5,3,5,3
4,4,4,4,3,4,4,3,3,4,5,3,5,4,3
2,2,2.82,4,3,1,3,5,2,2,2,5,4,4,5
3,1,3,2.37,3,5,3,5,1,5,1,2,3,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,4,4,5,1,5,2,5,5,3,5,4,2,1
4,2,2,2,2.73,2,2,2,2,2,2,2,4,3.08,3
3,2,3,4,5,3,3.89,5,5,5,2,5,5,4,3
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
5,2.66,3,3,3,3,3,3,3,3,3,3,5,3,3
4,1,3,1,2,3.5,5,2,2,4,4,3,3,5,4
3,3,3,4,3,3,3,3,5,5,3,3,3,3,3
4,3,3,3,3,3,1,3,4,2,3,3,4.03,3,3
2,3,4,1,3,4,2,4,1,2,2,3,2,2,1
5,3,3,4,4,3.2,3,3,4,3,3,3,5,4,3
3,2,4,2.3,3,3,3,3,2,1,5,2,2,2,3
5,3,2,4,5,4,2,2,4,3,2,5,5,3,2
4,4,3,4,5,3,3,2,5,2,4,4,3,3,3
1,4,3,3,2,4,3,5,1,2,3,5,5,5,3
5,3,3,3,5,3,3,3,5,3,3,3,3,3,3
3,4,3,3.44,4,2,3,3,4,3,5,5,5,4,3
2,3,3,4,5,4,3,3,5,3,3,3,5,3,1
5,2,1,3,4,3,2,1,3,1,1,3.35,5,4,2
5,3,3,3,5,4,3,3,3,1,3,4,3,3,2.98
